episode,waiting_time,execution_time,n_qtasks_on_qnode,reward,reschedule_count
0,3370.1828880989146,1130.730153396276,"{'qnode_id_0': 9, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-166.0666667268388,44
1,4163.619520104159,1333.571022599338,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-95.08333493275278,27
2,3572.875013309363,1229.9503589295107,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-103.59039142766628,30
3,2508.9245710508494,1061.77787567244,"{'qnode_id_0': 7, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 7}",-130.09393669911856,45
4,2654.248401611634,1038.4022972408377,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-157.3339012186121,51
5,2640.7496920200615,1621.643235293267,"{'qnode_id_0': 6, 'qnode_id_1': 6, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 7}",-59.01065107912412,16
6,3430.1738704324985,1116.511669230338,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-127.19217846188735,37
7,4254.027508606403,1346.7123109183506,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-155.80442305959306,43
8,4791.746791656008,1301.6948813964561,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 9, 'qnode_id_3': 9, 'qnode_id_4': 8}",-174.89020988399406,55
9,3228.775175738755,1041.451480723325,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-158.04588192124507,40
10,4491.979475759321,1437.4525650497449,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-156.68014061004146,41
11,5342.579155812847,1340.144220415189,"{'qnode_id_0': 9, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 9}",-176.303446841177,59
12,3807.3297769488245,1293.4311162269191,"{'qnode_id_0': 7, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 7}",-130.05906097752958,36
13,2501.214366085765,1222.3330428851727,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 8}",-137.98661058631075,34
14,2337.4156870390366,963.7772564778977,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 7}",-125.29581839493221,38
